name,mid_lat,mid_lng,crime_rate_normalised,lighting_score,crime_source
Chapel Wynd,55.946946,-3.199004,0.65,0.5182,neighbourhood
Charles Street,55.944643,-3.187793,0.75,0.6,neighbourhood
Charles Street Lane,55.944644,-3.189285,0.35,0.55,neighbourhood
Charlesfield,55.945052,-3.188012,0.75,0.6723,neighbourhood
Charlotte Lane,55.951017,-3.209345,0.68,0.7,neighbourhood
Chessel's Court,55.950407,-3.182697,0.75,0.5244,neighbourhood
Chester Street,55.949728,-3.216557,0.35,0.8,neighbourhood
Chester Street Mews,55.949778,-3.215485,0.35,0.55,neighbourhood
Cheyne Street,55.958566,-3.21281,0.12,0.7,neighbourhood
Chuckie Pend,55.946171,-3.206653,0.68,0.55,neighbourhood
Church Hill,55.932306,-3.206873,0.2,0.7828,neighbourhood
Church Hill Place,55.932172,-3.209041,0.15,0.8,neighbourhood
Churchhill Drive,55.931768,-3.207805,0.1,0.55,neighbourhood
Circus Gardens,55.956454,-3.205634,0.12,0.7,neighbourhood
Circus Lane,55.958105,-3.204992,0.12,0.7,neighbourhood
Circus Place,55.956988,-3.204471,0.3,0.8,neighbourhood
City Chambers Quadrangle,55.950194,-3.190294,0.75,0.55,neighbourhood
Clarebank Crescent,55.96824,-3.156776,0.6,0.7,neighbourhood
Claremont Bank,55.96235,-3.193505,0.3,0.7,neighbourhood
Claremont Court,55.964708,-3.189081,0.3,0.55,neighbourhood
Claremont Crescent,55.963735,-3.191764,0.3,0.7,neighbourhood
Claremont Gardens,55.969176,-3.155239,0.6,0.7,neighbourhood
Claremont Grove,55.962932,-3.193193,0.3,0.7,neighbourhood
Claremont Road,55.968231,-3.155966,0.6,0.7,neighbourhood
Claremont Street East Lane,55.962864,-3.192253,0.3,0.7,neighbourhood
Clarence Street,55.959163,-3.205908,0.12,0.7,neighbourhood
Clarendon Crescent,55.955516,-3.216203,0.1,0.7,neighbourhood
Clearburn Crescent,55.932681,-3.161352,0.2,0.7,neighbourhood
Clearburn Gardens,55.932504,-3.159948,0.2,0.7,neighbourhood
Clearburn Road,55.931948,-3.157261,0.2,0.7,neighbourhood
Clerk Street,55.942332,-3.182354,0.25,0.9,neighbourhood
Clinton Road,55.932247,-3.202457,0.2,0.7,neighbourhood
Clockmill Lane,55.955294,-3.159794,0.45,0.6237,neighbourhood
Coates Gardens,55.947016,-3.221681,0.35,0.7,neighbourhood
Cobden Crescent,55.932955,-3.170603,0.2,0.7,neighbourhood
Cobden Road,55.932464,-3.170985,0.2,0.7,neighbourhood
Cochran Terrace,55.959787,-3.189596,0.3,0.7,neighbourhood
Cochrane Place,55.968852,-3.163057,0.6,0.7,neighbourhood
Cockburn Street,55.950547,-3.189691,0.75,0.6,neighbourhood
Coffin Lane,55.940314,-3.223159,0.35,0.45,neighbourhood
Coinyie-House Close,55.949495,-3.185081,0.75,0.5,neighbourhood
Colinton Road,55.932203,-3.215553,0.15,0.8,neighbourhood
College View,55.965157,-3.222156,0.12,0.55,neighbourhood
College Wynd,55.948582,-3.188186,0.75,0.5,neighbourhood
Collins Place,55.961572,-3.209646,0.12,0.6749,neighbourhood
Colville Place,55.961506,-3.21009,0.12,0.7,neighbourhood
Comely Bank,55.958605,-3.224613,0.1,0.55,neighbourhood
Comely Bank Avenue,55.957719,-3.217408,0.12,0.8,neighbourhood
Comely Bank Grove,55.957667,-3.220417,0.1,0.7,neighbourhood
Comely Bank Place,55.958672,-3.216971,0.12,0.7,neighbourhood
Comely Bank Road,55.959184,-3.219266,0.12,0.85,neighbourhood
Comely Bank Row,55.957474,-3.216235,0.12,0.7,neighbourhood
Comely Bank Street,55.958676,-3.21956,0.12,0.7,neighbourhood
Comely Green Crescent,55.955939,-3.164615,0.45,0.7,neighbourhood
Comely Green Place,55.956546,-3.165637,0.45,0.7,neighbourhood
Conference Square,55.9471,-3.208518,0.68,0.75,neighbourhood
Considine Gardens,55.953941,-3.153506,0.45,0.5,neighbourhood
Considine Terrace,55.95437,-3.154217,0.45,0.45,neighbourhood
Considine Terrace Stairway,55.95437,-3.154217,0.45,0.45,neighbourhood
Convening Court,55.952519,-3.218492,0.1,0.4536,neighbourhood
Cooper's Close,55.951334,-3.178852,0.45,0.5459,neighbourhood
Cornhill Terrace,55.967764,-3.160654,0.6,0.7,neighbourhood
Cornwall Street,55.94714,-3.203692,0.68,0.7,neighbourhood
Cornwallis Place,55.961352,-3.194454,0.3,0.7,neighbourhood
Coronation Walk,55.94153,-3.195614,0.35,0.5,neighbourhood
Covenant Close,55.949817,-3.189068,0.75,0.45,neighbourhood
Cowan Road,55.932111,-3.228369,0.15,0.7,neighbourhood
Cowan's Close,55.943424,-3.182167,0.25,0.7,neighbourhood
Cowgate,55.948631,-3.188147,0.75,0.7876,neighbourhood
Cowgatehead,55.947815,-3.19395,0.7,0.8,neighbourhood
Craig's Close,55.950824,-3.190017,0.75,0.45,neighbourhood
Craigentinny Avenue North,55.968418,-3.142593,0.6,0.7,neighbourhood
Craigentinny Road,55.961489,-3.143711,0.45,0.7801,neighbourhood
Craigentinny and Powderhall Branch,55.968108,-3.189564,0.6,0.35,neighbourhood
Craigleith Road,55.958188,-3.227843,0.1,0.85,neighbourhood
Craigmillar Castle Gardens,55.931025,-3.145332,0.2,0.6588,neighbourhood
Craigmillar Castle Road,55.931839,-3.140685,0.2,0.6937,neighbourhood
Craigmillar Park,55.930973,-3.171403,0.2,0.9,neighbourhood
Craigs Close,55.950454,-3.190012,0.75,0.45,neighbourhood
Cranston Street,55.951109,-3.184111,0.75,0.6,neighbourhood
Crawfurd Road,55.930907,-3.169519,0.2,0.7,neighbourhood
Crewe Road South,55.959694,-3.227881,0.1,0.8,neighbourhood
Crichton Street,55.944578,-3.186995,0.75,0.6,neighbourhood
Crichton's Close,55.951442,-3.178317,0.45,0.5,neighbourhood
Croft-an-Righ,55.954451,-3.171393,0.45,0.6,neighbourhood
Crooked Dykes,55.944027,-3.18235,0.75,0.5,neighbourhood
Crown Place,55.969764,-3.171875,0.6,0.7,neighbourhood
Crown Street,55.969279,-3.171623,0.6,0.506,neighbourhood
Cumberland Street,55.958602,-3.200028,0.3,0.7,neighbourhood
Cumin Place,55.935151,-3.185072,0.2,0.7,neighbourhood
Currie's Close,55.947908,-3.195015,0.7,0.5,neighbourhood
Dalgety Avenue,55.958306,-3.162308,0.45,0.7,neighbourhood
Dalgety Road,55.958152,-3.160877,0.45,0.7,neighbourhood
Dalgety Street,55.95781,-3.161133,0.45,0.7,neighbourhood
Dalkeith Road,55.935732,-3.169645,0.2,0.89,neighbourhood
Dalkeith Road Mews,55.933179,-3.166692,0.2,0.55,neighbourhood
Dalmeny Street,55.964745,-3.173421,0.45,0.7,neighbourhood
Dalry Gait,55.944365,-3.219065,0.35,0.7,neighbourhood
Dalry Place,55.944806,-3.216579,0.35,0.75,neighbourhood
Dalry Road,55.942422,-3.221488,0.35,0.9,neighbourhood
Dalrymple Crescent,55.933478,-3.182503,0.2,0.7,neighbourhood
Damside,55.952203,-3.218401,0.1,0.6348,neighbourhood
Danube Street,55.956738,-3.211951,0.12,0.7,neighbourhood
Darnaway Street,55.954677,-3.207299,0.12,0.7,neighbourhood
Darvel Gait,55.966039,-3.147925,0.6,0.7,neighbourhood
Davie Street,55.945192,-3.182948,0.75,0.7,neighbourhood
Dean Bank Lane,55.959435,-3.208118,0.12,0.7,neighbourhood
Dean Park Crescent,55.956641,-3.214958,0.12,0.7867,neighbourhood
Dean Park Mews,55.958057,-3.215633,0.12,0.7,neighbourhood
Dean Park Street,55.958308,-3.214926,0.12,0.7,neighbourhood
Dean Path,55.953915,-3.219957,0.1,0.6734,neighbourhood
Dean Path Buildings,55.952633,-3.217804,0.1,0.7,neighbourhood
Dean Street,55.958072,-3.212265,0.12,0.8,neighbourhood
Dean Terrace,55.95708,-3.210068,0.12,0.7,neighbourhood
Deanery Close,55.957913,-3.148949,0.45,0.55,neighbourhood
Deanhaugh Path,55.959441,-3.209072,0.12,0.3762,neighbourhood
Deanhaugh Street,55.958401,-3.20952,0.12,0.85,neighbourhood
Designated bike track,55.947671,-3.148962,0.45,0.35,neighbourhood
Devon Gardens,55.94472,-3.225126,0.35,0.5521,neighbourhood
Devon Place,55.945272,-3.224561,0.35,0.7,neighbourhood
Dewar Place,55.946573,-3.211206,0.68,0.85,neighbourhood
Dewar Place Lane,55.946528,-3.212708,0.35,0.6759,neighbourhood
Dick Place,55.933666,-3.187073,0.15,0.7,neighbourhood
Dickson Street,55.964099,-3.17205,0.45,0.7,neighbourhood
Dickson's Close,55.949066,-3.186297,0.75,0.45,neighbourhood
Dicksonfield,55.96126,-3.179253,0.45,0.5977,neighbourhood
Distillery Lane,55.944967,-3.219438,0.35,0.55,neighbourhood
Donaldson Crescent,55.94746,-3.225833,0.35,0.55,neighbourhood
Donaldson Drive,55.947142,-3.225798,0.35,0.55,neighbourhood
Dorset Place,55.938859,-3.215821,0.4,0.7,neighbourhood
Douglas Crescent,55.94928,-3.221625,0.35,0.7,neighbourhood
Douglas Gardens,55.950539,-3.220401,0.1,0.8,neighbourhood
Douglas Gardens Mews,55.950911,-3.219865,0.1,0.7,neighbourhood
Doune Terrace,55.956056,-3.208694,0.12,0.7,neighbourhood
Downfield Place,55.941682,-3.224703,0.35,0.7,neighbourhood
Drum Terrace,55.962385,-3.170303,0.45,0.7,neighbourhood
Drumdryan Street,55.942704,-3.202463,0.5,0.7,neighbourhood
Drummond Place,55.958552,-3.195202,0.3,0.7,neighbourhood
Drummond Street,55.947789,-3.184021,0.75,0.6353,neighbourhood
Drumsheugh Gardens,55.951063,-3.214477,0.1,0.7466,neighbourhood
Drybrough Crescent,55.932552,-3.144368,0.2,0.7,neighbourhood
Dryden Gait,55.964603,-3.184029,0.45,0.6532,neighbourhood
Dryden Gardens,55.964848,-3.182707,0.45,0.7,neighbourhood
Dryden Place,55.937045,-3.173071,0.2,0.7,neighbourhood
Dryden Street,55.9647,-3.181659,0.45,0.7,neighbourhood
Dryden Terrace,55.963514,-3.183863,0.45,0.7,neighbourhood
Drysdale Gait,55.94257,-3.214035,0.4,0.5,neighbourhood
Drysdale Road,55.942412,-3.21504,0.4,0.7,neighbourhood
Dublin Meuse,55.9575,-3.194509,0.3,0.7,neighbourhood
Dublin Street,55.956979,-3.193536,0.3,0.6347,neighbourhood
Dublin Street Lane North,55.958135,-3.192846,0.3,0.6257,neighbourhood
Dublin Street Lane South,55.956663,-3.191594,0.3,0.7,neighbourhood
Duddingston Low Road,55.940373,-3.159954,0.2,0.7363,neighbourhood
Duddingston Road West,55.938327,-3.143991,0.2,0.8,neighbourhood
Duff Road,55.943511,-3.223584,0.35,0.7,neighbourhood
Duff Street,55.942805,-3.225078,0.35,0.7,neighbourhood
Duff Street Lane,55.941685,-3.225883,0.35,0.6628,neighbourhood
Duke Street,55.969261,-3.168215,0.6,0.8,neighbourhood
Duke Street Glebe,55.969412,-3.169041,0.6,0.5,neighbourhood
Duke's Walk,55.953862,-3.159201,0.45,0.8,neighbourhood
Dumbiedykes Road,55.948683,-3.177927,0.75,0.6703,neighbourhood
Dun-Ard,55.930712,-3.191456,0.15,0.55,neighbourhood
Dunbar Street,55.943924,-3.204728,0.5,0.7,neighbourhood
